Module,DICOM Reference,Attribute Name,Tag,DICOM Type,MADO IHE Usage,in_dicom,in_mado,difference_type,DICOM Description,MADO Description,MADO instruction,EU-MADO Profile,EU-MADO Field,Consumer Obligation,Producer Obligation,DICOM-KOS Match,Review comment
General Equipment,C.7.5.1,Station Name,"(0008,1010)",3,,Y,,dicom_only,User defined name identifying the machine that produced the Composite Instances.,,,,,,,,
General Equipment,C.7.5.1,Institutional Department Name,"(0008,1040)",3,,Y,,dicom_only,Department in the institution where the equipment that produced the Composite Instances is located.,,,,,,,,
General Equipment,C.7.5.1,Institutional Department Type Code Sequence,"(0008,1041)",3,,Y,,dicom_only,A coded description of the type of Department or Service within the healthcare facility. Note This might be obtained from a corresponding HL7v2 message containing PV1:10 Hospital Service. Only a single Item is permitted in this Sequence.,,,,,,,,
General Equipment,C.7.5.1,Manufacturer's Model Name,"(0008,1090)",3,,Y,,dicom_only,Manufacturer's model name of the equipment that produced the Composite Instances.,,,,,,,,
General Equipment,C.7.5.1,Manufacturer's Device Class UID,"(0018,100B)",3,,Y,,dicom_only,"Manufacturer's Unique Identifier (UID) for the class of the device. A class is a manufacturer-specific grouping concept with no DICOM-defined scope or criteria. A class is independent from a marketing-defined make, model or version. A class allows grouping of devices with a similar set of capabilities. This Attribute may be multi-valued if this device is a member of more than one class.",,,,,,,,
General Equipment,C.7.5.1,Device Serial Number,"(0018,1000)",3,,Y,,dicom_only,"Manufacturer's serial number of the equipment that produced the Composite Instances. Note This identifier corresponds to the device that actually created the images, such as a CR plate reader or a CT console, and may not be sufficient to identify all of the equipment in the imaging chain, such as the generator or gantry or plate.",,,,,,,,
General Equipment,C.7.5.1,Software Versions,"(0018,1020)",3,,Y,,dicom_only,Manufacturer's designation of software version of the equipment that produced the Composite Instances. See Section C.7.5.1.1.3.,,,,,,,,
General Equipment,C.7.5.1,Gantry ID,"(0018,1008)",3,,Y,,dicom_only,Identifier of the gantry or positioner.,,,,,,,,
General Equipment,C.7.5.1,UDI Sequence,"(0018,100A)",3,,Y,,dicom_only,"Unique Device Identifier (UDI) of the entire equipment. For example, the entire CT Scanner. Note Multiple Items may be present if the entire equipment has UDIs issued by different Issuing Authorities. Multiple Items may be present if multiple pieces of equipment were involved in the creation of this Instance, e.g., the DR plate and the DR reader. This is not intended to contain the UDIs of the components of the equipment, such as the X-Ray tube of the CT scanner. Such information is stored elsewhere and accessible using the UDI of the entire equipment and a date. One or more Items are permitted in this Sequence.",,,,,,,,
General Equipment,C.7.5.1,Device UID,"(0018,1002)",3,,Y,,dicom_only,"Unique identifier of the equipment that produced the Composite Instances. Note If present in an SR object, the value is expected to be the same as the (121012, DCM, ""Device Observer UID"") in TID 1004 “Device Observer Identifying Attributes”. There is no requirement that the Device UID (0018,1002) be the same as the Instance Creator UID (0008,0014) in the SOP Common Module, though they may be.",,,,,,,,
General Equipment,C.7.5.1,Spatial Resolution,"(0018,1050)",3,,Y,,dicom_only,"The inherent limiting resolution in mm of the acquisition equipment for high contrast objects for the data gathering and reconstruction technique chosen. If variable across the images of the Series, the value at the image center.",,,,,,,,
General Equipment,C.7.5.1,Date of Manufacture,"(0018,1204)",3,,Y,,dicom_only,The date the equipment that produced the Composite Instances was originally manufactured or re-manufactured (as opposed to refurbished).,,,,,,,,
General Equipment,C.7.5.1,Date of Installation,"(0018,1205)",3,,Y,,dicom_only,The date the equipment that produced the Composite Instances was installed in its current location. The equipment may or may not have been used prior to installation in its current location.,,,,,,,,
General Equipment,C.7.5.1,Date of Last Calibration,"(0018,1200)",3,,Y,,dicom_only,Date when the image acquisition device calibration was last changed in any way. Multiple entries may be used for additional calibrations at other times. See Section C.7.5.1.1.1 for further explanation.,,,,,,,,
General Equipment,C.7.5.1,Time of Last Calibration,"(0018,1201)",3,,Y,,dicom_only,Time when the image acquisition device calibration was last changed in any way. Multiple entries may be used. See Section C.7.5.1.1.1 for further explanation.,,,,,,,,
General Equipment,C.7.5.1,Pixel Padding Value,"(0028,0120)",1C,,Y,,dicom_only,"Single pixel value or one limit (inclusive) of a range of pixel values used in an image to pad to rectangular format or to signal background that may be suppressed or that may be rendered ""transparently"" when superimposing images. See Section C.7.5.1.1.2 for further explanation. Required if Pixel Padding Range Limit (0028,0121) is present and either Pixel Data (7FE0,0010) or Pixel Data Provider URL (0028,7FE0) is present. May be present otherwise only if Pixel Data (7FE0,0010) or Pixel Data Provider URL (0028,7FE0) is present. Note The Value Representation of this Attribute is determined by the Value of Pixel Representation (0028,0103). This Attribute is not used in Presentation State Instances; there is no means in a Presentation State to ""override"" any Pixel Padding Value (0028,0120) specified in the referenced images. This Attribute does apply to RT Dose and Segmentation Instances, since they include Pixel Data. This Attribute does not apply when Float Pixel Data (7FE0,0008) or Double Float Pixel Data (7FE0,0009) are used instead of Pixel Data (7FE0,0010); Float Pixel Padding Value (0028,0122) or Double Float Pixel Padding Value (0028,0123), respectively, are used instead, and defined at the Image, not the Equipment, level. Only a single Value is allowed for this Attribute, so it only applies to images with Samples per Pixel (0028,0002) of 1, i.e., images with a Photometric Interpretation (0028,0004) of MONOCHROME1, MONOCHROME2 or PALETTE COLOR. See Section C.7.5.1.1.2 for details.",,,,,,,,
Key Object Document,C.17.6.2,Instance Number,"(0020,0013)",1,,Y,,dicom_only,A number that identifies the Document.,,,,,,SHALL:populate,,
Key Object Document,C.17.6.2,Content Date,"(0008,0023)",1,,Y,,dicom_only,The date the document content creation started.,,,EuMadoComposition,date,,SHALL:populate,,
Key Object Document,C.17.6.2,Content Time,"(0008,0033)",1,,Y,,dicom_only,The time the document content creation started.,,,EuMadoComposition,date,,SHALL:populate,,
Key Object Document,C.17.6.2,Referenced Request Sequence,"(0040,A370)",1C,R+,Y,Y,both,Identifies Requested Procedures to which this Document pertains. One or more Items shall be included in this Sequence. Required if this Document pertains to at least one Requested Procedure.,Identifies Requested Procedures to which this Document pertains. One or more Items shall be included in this Sequence. See Section 6.X.2.8.1.,,EuMadoRequestedProcedure,"identifier[placer], identifier[filler]",,SHALL:able-to-populate,"Referenced Request Sequence (0040,A370) -> Order Placer Identifier Sequence (0040,0026)",
Key Object Document,C.17.6.2,Current Requested Procedure Evidence Sequence,"(0040,A375)",1,,Y,Y,mado_override,"List of all Composite SOP Instances referenced in the Content Sequence (0040,A730). No other instances shall be included in this Sequence. One or more Items shall be included in this Sequence.","List of all Composite SOP Instances references in Content Sequence (0040,A730), including all presentation states, real world value maps and other accompanying composite instances that are referenced from the content items.",,,,,SHALL:populate,,
Key Object Document,C.17.6.2,Identical Documents Sequence,"(0040,A525)",1C,,Y,,dicom_only,"Duplicates of this document, stored with different SOP Instance UIDs. One or more Items shall be included in this Sequence. Required if this Key Object Selection document references Instances in more than one Study. See Section C.17.2.2 and Section C.17.6.2.1 for further explanation and conditions.",,,,,,,,
SOP Common,C.12.1,SOP Class UID,"(0008,0016)",1,,Y,,dicom_only,Uniquely identifies the SOP Class. See Section C.12.1.1.1 for further explanation. See also PS3.4.,,Fixed:1.2.840.10008.5.1.4.1.1.88.59,,,,,,
SOP Common,C.12.1,SOP Instance UID,"(0008,0018)",1,,Y,,dicom_only,Uniquely identifies the SOP Instance. See Section C.12.1.1.1 for further explanation. See also PS3.4.,,Unique for this Manifest,,,,,,
SOP Common,C.12.1,Specific Character Set,"(0008,0005)",1C,,Y,,dicom_only,Character Set that expands or replaces the Basic Graphic Set. Required if an expanded or replacement character set is used. See Section C.12.1.1.2 for Defined Terms.,,,,,,,,
SOP Common,C.12.1,Instance Creation Date,"(0008,0012)",3,,Y,,dicom_only,"Date the SOP Instance was created. This is the date that the SOP Instance UID was assigned, and does not change during subsequent coercion of the Instance.",,,EuMadoBundle,timestamp,,SHALL:populate,"Instance Creation Date (0008,0012), Instance Creation Time (0008,0013)",This or Content?
SOP Common,C.12.1,Instance Creation Time,"(0008,0013)",3,,Y,,dicom_only,"Time the SOP Instance was created. This is the time that the SOP Instance UID was assigned, and does not change during subsequent coercion of the Instance.",,,EuMadoBundle,timestamp,,SHALL:populate,"Instance Creation Date (0008,0012), Instance Creation Time (0008,0013)",This or Content?
